Line-number,Type,State,County,Town,FIPS,Server-owner,ArcGIS-url,https,Show-contents,SSL,Open,Comment
1,0,,,,,,,,,,,When you use this resource please credit: Joseph Elfelt - https://mappingsupport.com
2,0,,,,,,,,,,,To donate to support this work please visit https://mappingsupport.com/p2/gissurfer-donate.html
3,1,,,,,Various agriculture related layers - unknown ownership,https://services1.arcgis.com/SyUSN23vOoYdfLC8/arcgis/rest/services,Y,Y,OK,Y, layers that start PHZM contain current plant hardiness zone data 
4,1,,,,,USDA - Foreign Agricultural Service,https://geo.fas.usda.gov/arcgis2/rest/services,Y,Y,OK,Y, 8-13-2023 no tiled data 
5,1,,,,,USDA - Farm Service Agency,https://gis.apfo.usda.gov/arcgis/rest/services,Y,Y,OK,Y,Includes NAIP as ImagerServer 2-21-2023 no tiled data 
6,1,,,,,USDA - Forest Service - Enterprise Data Warehouse (EDW),https://apps.fs.usda.gov/arcx/rest/services/EDW,Y,Y,OK,Y, 2-21-2023 no tiled data 
7,1,,,,,USDA - Forest Service - Forest Atlas,https://apps.fs.usda.gov/arcx/rest/services/RDW_FIA_ForestAtlas,Y,Y,OK,Y, 8-13-2023 No tiled data 
8,1,,,,,USDA - Forest Service - Various links,https://apps.fs.usda.gov/fsgisx01/rest/services,Y,Y,OK,Y, RDW_Wildfire has wildfire risk assessment 
9,1,,,,,USDA - Forest Service - Various links,https://apps.fs.usda.gov/fsgisx02/rest/services,Y,Y,OK,Y, 8-13-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
10,1,,,,,USDA - Forest Service - Various links,https://apps.fs.usda.gov/fsgisx03/rest/services,Y,Y,OK,Y, 8-13-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
11,1,,,,,USDA - Forest Service - Various links,https://apps.fs.usda.gov/fsgisx05/rest/services,Y,Y,OK,Y, 8-13-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
12,1,,,,,USDA - Forest Service - Various links,https://fsapps.nwcg.gov/psp/arcgis/rest/services,Y,Y,OK,Y, wildfire related data 
13,1,,,,,USDA - Forest Service - Various links,https://services1.arcgis.com/gGHDlz6USftL5Pau/arcgis/rest/services,Y,Y,OK,Y, Region 6 (WA OR) closures. R06_FireClosureOrders_PublicView/FeatureServer 
14,1,,,,,USDA - Forest Service - Various links,https://apps.fs.usda.gov/dmsm/rest/services,Y,Y,OK,Y, 8-13-2023 No tiled data 
15,1,,,,,USDA - Natural Resources Conservation Service,https://nrcsgeoservices.sc.egov.usda.gov/arcgis/rest/services,Y,Y,OK,Y, 2-21-2023 no tiled data 
16,1,,,,,USDA - Rural Development,https://rdgdwe.sc.egov.usda.gov/arcgis/rest/services,Y,Y,OK,Y, 8-13-2023 No tiled data 
17,1,,,,,DOC - Census Bureau,https://tigerweb.geo.census.gov/arcgis/rest/services,Y,Y,OK,Y, 8-13-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
18,1,,,,,DOC - National Oceanic & Atmospheric Administration (NOAA),https://coast.noaa.gov/arcgismc/rest/services,Y,Y,OK,Y, Added 3-12-2024 tons of data. NOAA says new services each month to the "Hosted" folder. 
19,1,,,,,DOC - National Oceanic & Atmospheric Administration (NOAA),https://seamlessrnc.nauticalcharts.noaa.gov/arcgis/rest/services,Y,Y,OK,Y, 2-21-2023 no tiled data 
20,1,,,,,DOC - National Oceanic & Atmospheric Administration (NOAA),https://coast.noaa.gov/arcgis/rest/services/,Y,Y,OK,Y, 8-13-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
21,1,,,,,DOC - National Oceanic & Atmospheric Administration (NOAA),https://maps.coast.noaa.gov/arcgis/rest/services,Y,Y,OK,Y, 8-13-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
22,1,,,,,DOC - National Oceanic & Atmospheric Administration (NOAA),https://maps1.coast.noaa.gov/arcgis/rest/services,Y,Y,OK,Y, 8-13-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
23,1,,,,,DOC - National Oceanic & Atmospheric Administration (NOAA),https://maps2.coast.noaa.gov/arcgis/rest/services,Y,Y,OK,Y, 8-13-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
24,1,,,,,DOC - National Oceanic & Atmospheric Administration (NOAA),https://maritimeboundaries.noaa.gov/arcgis/rest/services,Y,Y,OK,Y, 8-13-2023 Has tiled data. Do a Google search. site:server_address "wmts" 
25,1,,,,,DOC - National Oceanic & Atmospheric Administration (NOAA),https://tiles.arcgis.com/tiles/C8EMgrsFcRFL6LrL/arcgis/rest/services,Y,Y,OK,Y, 
26,1,,,,,DOC - National Oceanic & Atmospheric Administration (NOAA),https://gis.charttools.noaa.gov/arcgis/rest/services,Y,Y,OK,Y, 2-21-2023 no tiled data 
27,1,,,,,DOC - National Center for Environmental Prediction,https://mapservices.weather.noaa.gov/static/rest/services,Y,Y,OK,Y, 8-13-2023 No tiled data 
28,1,,,,,DOC - National Center for Environmental Prediction,https://mapservices.weather.noaa.gov/experimental/rest/services,Y,Y,OK,Y, Flood Hazard Outlook 
29,1,,,,,DOC - National Center for Environmental Prediction,https://mapservices.weather.noaa.gov/eventdriven/rest/services,Y,Y,OK,Y, Serves this map: https://viewer.geospatial.weather.gov 
30,1,,,,,DOC - National Center for Environmental Prediction,https://mapservices.weather.noaa.gov/tropical/rest/services,Y,Y,OK,Y, Pre-hurricane 
31,1,,,,,DOC - National Center for Environmental Prediction,https://mapservices.weather.noaa.gov/vector/rest/services,Y,Y,OK,Y, 8-13-2023 No tiled data 
32,1,,,,,DOC - National Center for Environmental Prediction,https://mapservices.weather.noaa.gov/raster/rest/services,Y,Y,OK,Y, 8-13-2023 No tiled data 
